"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206205_at",2.00250463552941,6.19865790112676,3.67886849629254,0.000489538378734759,0.0100649727120797,-0.5348623403014
"212311_at",-6.49178550008823,5.66877247653521,-3.67866544593423,0.000489858335567391,0.0100660981419192,-0.535473651404432
"231916_at",-3.77986922629412,2.49085265607042,-3.67781248875526,0.000491204566210635,0.0100882998408866,-0.538041361840387
"219625_s_at",-1.91903936317646,9.03662749414084,-3.67727726973932,0.000492051110558805,0.0101002205787717,-0.53965237148861
"1569189_at",-2.34960513047059,5.12766766853521,-3.67556555607071,0.000494767852208262,0.0101504967906553,-0.54480362792748
"1557113_at",-3.22347720417647,6.72946730464789,-3.67246533528757,0.00049972485657043,0.0102463903405309,-0.554129585320949
"212552_at",-3.12517521917647,10.2355965005493,-3.67230534560564,0.000499981949482617,0.0102463903405309,-0.554610723547728
"202871_at",2.15094513797059,8.47286212394366,3.67005856535612,0.00050360574173077,0.0103150849010522,-0.561366070594957
"212414_s_at",4.05666801267647,8.37014864826761,3.66985234370645,0.00050393960632355,0.0103163558891068,-0.561985980693426
"1555820_a_at",2.20974607467647,4.6143507624507,3.66900679409452,0.000505310727703107,0.010338848172099,-0.564527502368428
"225352_at",-1.50811549147059,10.7286300173521,-3.6657819953385,0.000510572737598777,0.0104408823722112,-0.574217049280508
"202636_at",-1.73271448923529,10.6723462263099,-3.66511267597025,0.00051167142273716,0.0104577152280916,-0.576227469771267
"238637_at",1.94834907567647,4.18833210480282,3.66444160619875,0.000512775246295018,0.0104746349288919,-0.57824291235559
"233177_s_at",-3.73833749202941,5.3447799108169,-3.66419190991348,0.000513186544463608,0.0104773975839547,-0.578992771962318
"213899_at",1.9323780467353,9.35772622004226,3.66379890261189,0.000513834541502018,0.0104849871979396,-0.580172940814717
"231233_at",2.52886322770588,6.53903466583099,3.66359436936285,0.000514172088242061,0.0104862372042661,-0.58078710544935
"202492_at",-1.71220061297059,8.30484186143662,-3.66321823300109,0.000514793388747267,0.0104932697510815,-0.581916496133666
"204352_at",3.86352627714706,8.47914945923944,3.66302474326241,0.000515113273331941,0.0104941541470963,-0.582497441416013
